Title,Author,Year,ISBN,Target Users,Expertise Level,Lesson Plans or Projects,Subjects,Amazon Link,Worldcat Link,Annotation
Arduino wearables,Tony Olsson,2012,978-1430243595,"K-12,Libraries,College/University,General","Beginner,Intermediate",checked,"Arduinos,Wearables",https://www.amazon.com/Arduino-Wearables-Technology-Action-Olsson/dp/1430243597,,UF lib - QA76.592.O47 2012 
Digital Textile Design,"Melanie Bowles,Ceri Isaac",2012,978-1780670027,"College/University,General","Beginner,Intermediate",checked,Fiber Arts,https://www.amazon.com/Digital-Textile-Design-Second-Melanie/dp/1780670028/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=1780670028&pd_rd_r=dfeda8d0-f2ca-11e8-bd66-f7675945ae46&pd_rd_w=1JeJE&pd_rd_wg=MR1X3&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=18bb0b78-4200-49b9-ac91-f141d61a1780&pf_rd_r=23AY9252X85P0YXCW6PG&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&psc=1&refRID=23AY9252X85P0YXCW6PG,,"Digital Textile Design, Second Edition covers everything students and practitioners of textile design will need to learn about designing and printing digitally. The book examines how designers can access this technique, looking at the work of those currently exploring its possibilities, and provides an insight into the technology involved in digital textile printing."
Macramé for home decor : 40 stunning projects for stylish decorating,"Samantha,Grenier",2019,978-1-56523-951-7 1-56523-951-2,General,Advanced,checked,Fiber Arts,https://www.amazon.com/Macrame-Home-Decor-Step-Step/dp/1565239512/ref=sr_1_1?keywords=Macram%C3%A9+for+home+decor+%3A+40+stunning+projects+for+stylish+decorating&qid=1570112480&s=gateway&sr=8-1,https://www.worldcat.org/title/macrame-for-home-decor-40-stunning-projects-for-stylish-decorating/oclc/1036786995&referer=brief_results,"The book starts with basic lessons on macrame and the basic toolkit and extends to 40 projects of varying complexity. Each project has detailed and illustrated step-by-step instructions. Each project is both decorative and useful for household and domestic purposes. Projects include many different types of home decor, plant hangers, wall hangings and mats"
Laser Cutting for Fashion and Textiles,Laura Berens Baker,2016,978-1780676173,"General,College/University","Beginner,Intermediate",checked,"Laser Cutting,Fiber Arts",https://www.amazon.com/Laser-Cutting-Fashion-Textiles-Berens/dp/1780676174/ref=sr_1_7?s=books&ie=UTF8&qid=1543380732&sr=1-7&keywords=Laser+Cutting,,"In this book, Laura Berens Baker provides 14 inspirational projects that demonstrate how to use laser cutting equipment to produce original designs for garments and accessories. The book explores how to engineer designs and harness laser technology to upcycle fabrics, replicating traditional finishes as well as developing new ones.  Each project is created in Adobe Illustrator and includes step-by-step instructions for creating the design for the laser cutter, followed by instructions for cutting and sewing. Extra material available to download from the Laurence King website includes patterns and templates for the designs."
Smart Textiles for Designers: Inventing the Future of Fabrics,Rebeccah Pailes-Friedman,2016,978-1780677323,"General,College/University","Beginner,Intermediate",checked,"Laser Cutting,Sewing,Fiber Arts",https://www.amazon.com/Smart-Textiles-Designers-Inventing-Fabrics/dp/1780677324/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1780677324&pd_rd_r=8daddcc2-f2c9-11e8-a029-3b664630e258&pd_rd_w=QLTK9&pd_rd_wg=b7EIQ&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=18bb0b78-4200-49b9-ac91-f141d61a1780&pf_rd_r=T1HXS3N5X9ESSMWG0ZDV&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&psc=1&refRID=T1HXS3N5X9ESSMWG0ZDV,,"Approaches centered on design and designers. Smart Textiles for Designers introduces the different qualities and properties that can be embedded in, integrated with, and applied to fabrics, and looks at the different contexts in which these smart textiles can be used. The first book to look at smart textiles through the eyes of a designer, this is both a core reference work and an inspirational guide for students and professionals alike."
Soft Circuits: Crafting e-Fashion with DIY Electronics,"Kylie Peppler,Melissa Gresalfi,Katie Salen Tekinbas,Rafi Santo",2014,978-0262027847,"K-12,College/University,General","Beginner,Intermediate",checked,"Wearables,Sewing,Fiber Arts",https://www.amazon.com/Soft-Circuits-Fashion-Electronics-Foundation/dp/0262027844/ref=pd_sim_14_10?_encoding=UTF8&pd_rd_i=0262027844&pd_rd_r=dfeda8d0-f2ca-11e8-bd66-f7675945ae46&pd_rd_w=1JeJE&pd_rd_wg=MR1X3&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=18bb0b78-4200-49b9-ac91-f141d61a1780&pf_rd_r=23AY9252X85P0YXCW6PG&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&psc=1&refRID=23AY9252X85P0YXCW6PG,,"Soft Circuits introduces students to the world of wearable technology. Using Modkit, an accessible DIY electronics toolkit, students learn to create e-textile cuffs, “electrici-tee” shirts, and solar-powered backpacks. Students also learn the importance of one component to the whole?how, for example, changing the structure of LED connections immediately affects the number of LEDs that light up."
"Master your craft : strategies for designing, making, and selling artisan work","Tien,Chiu",2016,0-7643-5145-1,General,Beginner,,General Crafting/Making,https://www.amazon.com/Master-Your-Craft-Strategies-Designing/dp/0764351451/ref=sr_1_1?keywords=Master+your+craft+%3A+strategies+for+designing%2C+making%2C+and+selling+artisan+work&qid=1569856741&s=gateway&sr=8-1,https://www.worldcat.org/title/master-your-craft-strategies-for-designing-making-and-selling-artisan-work/oclc/958280165&referer=brief_results,"""Master your craft"" is designed for those who want to share their art with the world and make a profit doing so.  It guides you through the process of brainstorming your designs and self evaluating your work, and includes tips from artisans from a variety of crafts who have created businesses from their artwork."
Maker projects for kids who love exploring the outdoors,"Sarah,Levete",2017,978-0-7787-2576-3 0-7787-2576-6 978-0-7787-2582-4 0-7787-2582-0 978-1-5182-3541-2 1-5182-3541-7,K-12,Beginner,checked,General Crafting/Making,https://www.amazon.com/Maker-Projects-Kids-Exploring-Outdoors/dp/0778725766/ref=sr_1_1?keywords=Maker+projects+for+kids+who+love+exploring+the+outdoors&qid=1569876862&s=gateway&sr=8-1,https://www.worldcat.org/title/maker-projects-for-kids-who-love-exploring-the-outdoors/oclc/1032583779&referer=brief_results,"The book provides information for K-12 readers about surviving in nature through observation and creativity. The book provides basic and crucial information on wildlife, plants, insects and night and day in the forest. This information is accompanied by practical projects that will help people survive in wildlife such as building a sundial or a bug house or a shelter. It is heavily illustrated with attractive layout that makes for easy reading and detailed project instructions."
Calligraphy & lettering : a maker's guide,"; Thames and Hudson; V&A Publishing.,Eleanor,Crow",2019,978-0-500-29430-7 0-500-29430-5,General,Intermediate,checked,General Crafting/Making,https://www.amazon.com/Calligraphy-Lettering-Maker-s-Guide/dp/0500294305/ref=sr_1_fkmr0_1?keywords=Calligraphy+%26+lettering+%3A+a+maker%27s+guide+eleanor+crow&qid=1570112963&s=gateway&sr=8-1-fkmr0,https://www.worldcat.org/title/calligraphy-lettering-a-makers-guide/oclc/1052845594&referer=brief_results,"The book is a detailed, illustrated guide to the art of  calligraphy and lettering and covers a range of styles and patterns. It provides detailed instructions on the materials required and how to start with basic which could then be applied to complex projects. It provides some historical context with classic calligraphy like  Roman capitals, Gothic script and Italic script. It gives instructions on applying the skills to decorated letters, illuminated letters, embossing and monograms. It provides information and instruction on decorative projects like pen flourishes and chalkboard lettering. "
Ultimate Brush Lettering Guide : a Complete Step-By-Step Creative Workbook to Jumpstart Modern Calligraphy Skills.,"Peggy.,Dean",2018,978-0-399-58217-2 0-399-58217-7,General,Beginner,checked,General Crafting/Making,https://www.amazon.com/Ultimate-Brush-Lettering-Guide-Step/dp/0399582177/ref=sr_1_1?keywords=Ultimate+Brush+Lettering+Guide+%3A+a+Complete+Step-By-Step+Creative+Workbook+to+Jumpstart+Modern+Calligraphy+Skills.&qid=1570113053&s=gateway&sr=8-1,https://www.worldcat.org/title/ultimate-brush-lettering-guide-a-complete-step-by-step-creative-workbook-to-jumpstart-modern-calligraphy-skills/oclc/1050794842&referer=brief_results,"The book offers a detailed guide to brush lettering, as an art form. It provides information on how to use the book as well as the key differences between lettering, calligraphy and typography. It gives detailed lists of the materials required, that is, different kinds of pens and papers. The book contains worksheets for readers to practice different aspects of lettering like lettering, basic strokes, bounce and flourish. It also contains detailed instructions on DIY projects. The book is aimed for a general audience who would like to learn brush lettering."
